"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"159","genre_chef_menage","group_pop","pop_local","femme",0.0731707317073171,NA,0.00544310926810659,0.140898354146528,"admin1","sud_ouest"
"257","genre_chef_menage","group_pop","pop_local","homme",0.926829268292683,NA,0.859101645853472,0.994556890731893,"admin1","sud_ouest"
"160","genre_chef_menage","group_pop","pop_local","femme",0.08,NA,0.0162517710175696,0.14374822898243,"admin1","centre"
"258","genre_chef_menage","group_pop","pop_local","homme",0.92,NA,0.85625177101757,0.98374822898243,"admin1","centre"
"161","situation_matrimoniale","group_pop","pdi","celibataire",0.0196078431372549,NA,-0.00311807902404898,0.0423337652985588,"admin1","centre_est"
"259","situation_matrimoniale","group_pop","pdi","encouple",0.0196078431372549,NA,-0.00311807902404898,0.0423337652985588,"admin1","centre_est"
"342","situation_matrimoniale","group_pop","pdi","marie_monogame",0.519607843137255,NA,0.437715651922279,0.601500034352231,"admin1","centre_est"
"435","situation_matrimoniale","group_pop","pdi","marie_polygame",0.392156862745098,NA,0.312130632843819,0.472183092646377,"admin1","centre_est"
"51","situation_matrimoniale","group_pop","pdi","marie_veuf",0.0490196078431373,NA,0.0136298666764095,0.084409349009865,"admin1","centre_est"
"61","situation_matrimoniale","group_pop","pop_local","divorce",0.00819672131147541,NA,-0.00531652565018623,0.021709968273137,"admin1","centre_est"
"71","situation_matrimoniale","group_pop","pop_local","encouple",0.0409836065573771,NA,0.0112707120061057,0.0706965011086484,"admin1","centre_est"
"81","situation_matrimoniale","group_pop","pop_local","marie_monogame",0.516393442622951,NA,0.44149663460018,0.591290250645721,"admin1","centre_est"
"91","situation_matrimoniale","group_pop","pop_local","marie_polygame",0.336065573770492,NA,0.265270756286884,0.406860391254099,"admin1","centre_est"
"101","situation_matrimoniale","group_pop","pop_local","marie_veuf",0.0983606557377049,NA,0.0537278699757248,0.142993441499685,"admin1","centre_est"
"162","situation_matrimoniale","group_pop","pdi","celibataire",0.00210970464135021,NA,-0.00136126638131266,0.00558067566401308,"admin1","sahel"
"260","situation_matrimoniale","group_pop","pdi","divorce",0.00210970464135021,NA,-0.00136126638131266,0.00558067566401308,"admin1","sahel"
"343","situation_matrimoniale","group_pop","pdi","encouple",0.00210970464135021,NA,-0.00136126638131267,0.00558067566401309,"admin1","sahel"
"436","situation_matrimoniale","group_pop","pdi","marie_monogame",0.590717299578059,NA,0.553520951917049,0.62791364723907,"admin1","sahel"
"52","situation_matrimoniale","group_pop","pdi","marie_polygame",0.367088607594937,NA,0.330625332907035,0.403551882282839,"admin1","sahel"
"62","situation_matrimoniale","group_pop","pdi","marie_veuf",0.0358649789029536,NA,0.0217979306124528,0.0499320271934543,"admin1","sahel"
"72","situation_matrimoniale","group_pop","pop_local","celibataire",0.00316455696202532,NA,-0.000515017409139648,0.00684413133319028,"admin1","sahel"
"82","situation_matrimoniale","group_pop","pop_local","divorce",0.00316455696202532,NA,-0.000515017409139643,0.00684413133319027,"admin1","sahel"
"92","situation_matrimoniale","group_pop","pop_local","encouple",0.00316455696202532,NA,-0.000515017409139646,0.00684413133319028,"admin1","sahel"
"102","situation_matrimoniale","group_pop","pop_local","marie_monogame",0.681962025316456,NA,0.651451549788093,0.712472500844819,"admin1","sahel"
